Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2006-11-06,1.2533,0.6272,0.4192,94.19,0.901,118.05,0.7862,0.5256,1.1298,1.2536,1.68,2.051,2.392,8698.49,5.183,4.829,4.723,1364.3
2006-11-07,1.2556,0.6258,0.4196,94.17,0.8994,118.28,0.7858,0.527,1.1298,1.2559,1.67,2.073,2.399,8798.46,5.218,4.816,4.697,1379.78
2006-11-08,1.2493,0.6263,0.4198,94.15,0.9038,117.66,0.7827,0.5247,1.1296,1.25,1.62,2.062,2.328,8835.63,5.207,4.778,4.667,1382.84
2006-11-09,1.2508,0.6264,0.4194,94.16,0.9024,117.82,0.7838,0.5248,1.1293,1.2512,1.64,2.074,2.351,8776.72,5.217,4.761,4.641,1385.72
2006-11-10,1.243,0.6269,0.4221,94.82,0.9083,117.9,0.7795,0.5249,1.1296,1.2431,1.67,2.075,2.336,8764.23,5.214,4.752,4.623,1378.33
2006-11-13,1.24,0.6277,0.422,94.79,0.9122,117.56,0.7785,0.5234,1.1316,1.2412,1.64,2.072,2.307,8735.82,5.204,4.748,4.593,1380.9
2006-11-14,1.2445,0.6272,0.4224,94.9,0.914,118.13,0.7808,0.5258,1.1382,1.2453,1.67,2.102,2.333,8752.1,5.208,4.777,4.613,1384.42
2006-11-15,1.2436,0.6274,0.4241,94.51,0.9141,117.56,0.7803,0.5275,1.1372,1.2437,1.66,2.112,2.306,8733.82,5.259,4.743,4.568,1393.22
2006-11-16,1.2457,0.6255,0.4248,94.7,0.9138,118.0,0.7794,0.5292,1.1388,1.246,1.66,2.147,2.334,8791.17,5.248,4.819,4.625,1396.57
2006-11-17,1.248,0.6261,0.4243,94.69,0.9145,118.2,0.7816,0.5297,1.1421,1.2477,1.7,2.164,2.33,8789.38,5.237,4.861,4.672,1399.76
2006-11-20,1.2438,0.6265,0.4241,94.72,0.9212,117.84,0.7795,0.5276,1.1463,1.2443,1.7,2.157,2.319,8745.82,5.183,4.771,4.605,1401.2
2006-11-21,1.2438,0.627,0.4234,94.87,0.9212,118.03,0.7802,0.5269,1.1464,1.2445,1.69,2.13,2.308,8760.04,5.203,4.78,4.601,1400.5
2006-11-22,1.2409,0.6272,0.4242,94.98,0.9234,117.9,0.7785,0.5265,1.1463,1.2409,1.7,2.132,2.287,8774.58,5.126,4.767,4.578,1402.81
2006-11-24,1.2244,0.6306,0.4261,94.94,0.9324,116.27,0.7724,0.5219,1.1423,1.2249,1.74,2.119,2.319,8751.3,5.257,4.762,4.562,1406.09
2006-11-27,1.2026,0.6313,0.4271,96.04,0.9409,115.51,0.7592,0.5136,1.1321,1.2092,1.73,2.109,2.316,8641.52,5.234,4.748,4.56,1400.95
2006-11-28,1.2064,0.6309,0.4276,96.2,0.938,116.08,0.7613,0.5161,1.1321,1.2066,1.76,2.117,2.323,8517.35,5.259,4.727,4.534,1381.96
2006-11-29,1.2026,0.6297,0.4259,96.52,0.9394,116.11,0.7575,0.5123,1.1303,1.2022,1.75,2.129,2.319,8462.18,5.258,4.688,4.505,1386.72
