Date,Close,US_infl,CH_infl,US_IR,SARON_close
2007-09-12,1.1844,0.275590741,0.1,4.0,1.916758
2007-09-13,1.1849,0.275590741,0.1,4.04,2.296746
2007-09-14,1.1908,0.275590741,0.1,3.85,2.040302
2007-09-17,1.1872,0.275590741,0.1,3.82,1.954899
2007-09-18,1.1808,0.275590741,0.1,3.87,1.87716
2007-09-19,1.1834,0.275590741,0.1,3.62,1.86907
2007-09-20,1.1714,0.275590741,0.1,3.46,1.942546
2007-09-21,1.1719,0.275590741,0.1,3.24,1.876648
2007-09-24,1.173,0.275590741,0.1,3.35,1.947552
2007-09-25,1.1655,0.275590741,0.1,3.34,2.013861
2007-09-26,1.1695,0.275590741,0.1,3.25,1.989139
2007-09-27,1.1726,0.275590741,0.1,3.3,2.083798
2007-09-28,1.163,0.275590741,0.1,3.43,2.209981
2007-10-01,1.1682,0.213919133,0.9,3.52,2.095218
2007-10-02,1.175,0.213919133,0.9,3.63,2.123279
2007-10-03,1.1799,0.213919133,0.9,3.67,2.145943
2007-10-04,1.1745,0.213919133,0.9,3.63,2.117957
2007-10-05,1.1773,0.213919133,0.9,3.58,2.009526
2007-10-08,1.1862,0.213919133,0.9,3.58,1.8698
2007-10-09,1.183,0.213919133,0.9,3.72,1.8146
2007-10-10,1.1835,0.213919133,0.9,3.81,1.829364
2007-10-11,1.1817,0.213919133,0.9,3.98,2.01846
2007-10-12,1.1853,0.213919133,0.9,4.12,1.871352
2007-10-15,1.1809,0.213919133,0.9,4.25,1.82802
2007-10-16,1.182,0.213919133,0.9,4.14,1.8657
2007-10-17,1.1788,0.213919133,0.9,3.74,1.988939
2007-10-18,1.1694,0.213919133,0.9,3.21,1.896459
2007-10-19,1.1677,0.213919133,0.9,3.45,1.957164
2007-10-22,1.1773,0.213919133,0.9,3.69,2.007794
2007-10-23,1.1734,0.213919133,0.9,3.98,1.97244
2007-10-24,1.1716,0.213919133,0.9,3.83,1.880929
2007-10-25,1.1653,0.213919133,0.9,3.92,1.878146
2007-10-26,1.1647,0.213919133,0.9,3.97,1.856298
2007-10-29,1.1649,0.213919133,0.9,3.96,1.927612
2007-10-30,1.1584,0.213919133,0.9,4.03,2.023581
2007-10-31,1.1595,0.213919133,0.9,4.01,2.118889
2007-11-01,1.1571,0.593961787,0.5,3.9,1.967776
2007-11-02,1.1562,0.593961787,0.5,3.73,1.929668
2007-11-05,1.1529,0.593961787,0.5,3.86,1.997464
2007-11-06,1.144,0.593961787,0.5,3.99,2.060114
2007-11-07,1.134,0.593961787,0.5,3.77,2.015681
2007-11-08,1.1271,0.593961787,0.5,3.56,1.935481
